No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
1,20/21 Summer,Thomas Partey,27,Ghana,Defensive Midfield,35000000,Atlético de Madrid,Arsenal FC,50000000,Transfer,,
2,20/21 Summer,Gabriel Magalhães,22,Brazil,Centre-Back,55000000,LOSC Lille,Arsenal FC,26000000,Transfer,,
3,20/21 Summer,Pablo Marí,26,Spain,Centre-Back,5000000,CR Flamengo,Arsenal FC,6000000,Transfer,,
4,20/21 Summer,Rúnar Alex Rúnarsson,25,Iceland,Goalkeeper,1000000,Dijon FCO,Arsenal FC,2000000,Transfer,,
5,20/21 Summer,Cédric Soares,28,Portugal,Right-Back,3000000,Southampton FC,Arsenal FC,0,Free transfer,,
6,20/21 Summer,Willian,32,Brazil,Left Winger,3000000,Chelsea FC,Arsenal FC,0,Free transfer,,
7,20/21 Summer,Emile Smith Rowe,20,England,Attacking Midfield,30000000,Arsenal FC U23,Arsenal FC,-,Graduated,,
8,20/21 Summer,Emiliano Martínez,28,Argentina,Goalkeeper,28000000,Arsenal FC,Aston Villa,17400000,Transfer,,
9,20/21 Summer,Mattéo Guendouzi,21,France,Central Midfield,20000000,Arsenal FC,Hertha BSC,1000000,Loan,,
10,20/21 Summer,Konstantinos Mavropanos,22,Greece,Centre-Back,15000000,Arsenal FC,VfB Stuttgart,750000,Loan,,
11,20/21 Summer,Henrikh Mkhitaryan,31,Armenia,Central Midfield,6000000,Arsenal FC,AS Roma,0,Free transfer,,
12,20/21 Summer,Lucas Torreira,24,Uruguay,Defensive Midfield,15000000,Arsenal FC,Atlético de Madrid,0,Loan,,
13,20/21 Summer,Dejan Iliev,25,North Macedonia,Goalkeeper,300000,Arsenal FC,Shrewsbury Town,0,Loan,,
14,20/21 Summer,Pablo Marí,26,Spain,Centre-Back,5000000,Arsenal FC,CR Flamengo,0,End of loan,,
15,20/21 Summer,Cédric Soares,28,Portugal,Right-Back,3000000,Arsenal FC,Southampton FC,0,End of loan,,
16,20/21 Summer,Kai Havertz,21,Germany,Attacking Midfield,60000000,Bayer 04 Leverkusen,Chelsea FC,80000000,Transfer,,
17,20/21 Summer,Timo Werner,24,Germany,Centre-Forward,20000000,RB Leipzig,Chelsea FC,53000000,Transfer,,
18,20/21 Summer,Ben Chilwell,23,England,Left-Back,35000000,Leicester City,Chelsea FC,50200000,Transfer,,
19,20/21 Summer,Hakim Ziyech,27,Morocco,Right Winger,15000000,Ajax Amsterdam,Chelsea FC,40000000,Transfer,,
20,20/21 Summer,Edouard Mendy,28,Senegal,Goalkeeper,10000000,Stade Rennais FC,Chelsea FC,24000000,Transfer,,
21,20/21 Summer,Thiago Silva,35,Brazil,Centre-Back,2000000,Paris Saint-Germain,Chelsea FC,0,Free transfer,,
22,20/21 Summer,Malang Sarr,21,France,Centre-Back,6000000,OGC Nice,Chelsea FC,0,Free transfer,,
23,20/21 Summer,Álvaro Morata,27,Spain,Centre-Forward,20000000,Chelsea FC,Atlético de Madrid,35000000,Transfer,,
24,20/21 Summer,Mario Pasalic,25,Croatia,Attacking Midfield,17000000,Chelsea FC,Atalanta BC,14500000,Transfer,,
25,20/21 Summer,Nathan,24,Brazil,Attacking Midfield,2000000,Chelsea FC,Clube Atlético Mineiro,3000000,Transfer,,
26,20/21 Summer,Malang Sarr,21,France,Centre-Back,6000000,Chelsea FC,FC Porto,2000000,Loan,,
27,20/21 Summer,Tiemoué Bakayoko,26,France,Defensive Midfield,2500000,Chelsea FC,SSC Napoli,1750000,Loan,,
28,20/21 Summer,Victor Moses,29,Nigeria,Right Midfield,2000000,Chelsea FC,Spartak Moscow,300000,Loan,,
29,20/21 Summer,Pedro,33,Spain,Right Winger,1500000,Chelsea FC,AS Roma,0,Free transfer,,
30,20/21 Summer,Willian,32,Brazil,Left Winger,3000000,Chelsea FC,Arsenal FC,0,Free transfer,,
31,20/21 Summer,Jamal Blackman,26,England,Goalkeeper,350000,Chelsea FC,Rotherham United,0,Loan,,
32,20/21 Summer,Izzy Brown,23,England,Left Winger,-,Chelsea FC,Sheffield Wednesday,0,Loan,,
33,20/21 Summer,Lewis Baker,25,England,Central Midfield,2500000,Chelsea FC,Trabzonspor,0,Loan,,
34,20/21 Summer,Davide Zappacosta,28,Italy,Right Midfield,7000000,Chelsea FC,Genoa CFC,0,Loan,,
35,20/21 Summer,Danilo Pantic,23,Serbia,Attacking Midfield,1200000,Chelsea FC,FK Cukaricki,0,Loan,,
36,20/21 Summer,Matt Miazga,25,United States,Centre-Back,1800000,Chelsea FC,RSC Anderlecht,0,Loan,,
37,20/21 Summer,Jake Clarke-Salter,23,England,Centre-Back,1500000,Chelsea FC,Birmingham City,0,Loan,,
38,20/21 Summer,Ruben Loftus-Cheek,24,England,Central Midfield,25000000,Chelsea FC,Fulham FC,0,Loan,,
39,20/21 Summer,Ross Barkley,26,England,Central Midfield,4500000,Chelsea FC,Aston Villa,0,Loan,,
40,20/21 Summer,Michy Batshuayi,26,Belgium,Centre-Forward,9000000,Chelsea FC,Crystal Palace,0,Loan,,
41,20/21 Summer,Kenedy,24,Brazil,Left Winger,1500000,Chelsea FC,Granada CF,0,Loan,,
42,20/21 Summer,Ethan Ampadu,19,Wales,Defensive Midfield,12000000,Chelsea FC,Sheffield United,0,Loan,,
43,20/21 Summer,Marc Guéhi,20,England,Centre-Back,35000000,Chelsea FC,Swansea City,0,Loan,,
44,20/21 Summer,Marco van Ginkel,27,Netherlands,Central Midfield,1300000,Chelsea FC,PSV Eindhoven,0,Loan,,
45,20/21 Summer,Diogo Jota,23,Portugal,Left Winger,50000000,Wolverhampton Wanderers,Liverpool FC,44700000,Transfer,,
46,20/21 Summer,Thiago,29,Spain,Central Midfield,12000000,Bayern Munich,Liverpool FC,22000000,Transfer,,
47,20/21 Summer,Konstantinos Tsimikas,24,Greece,Left-Back,18000000,Olympiacos Piraeus,Liverpool FC,13000000,Transfer,,
48,20/21 Summer,Curtis Jones,19,England,Central Midfield,30000000,Liverpool FC U23,Liverpool FC,-,Graduated,,
49,20/21 Summer,Rhys Williams,19,England,Centre-Back,2000000,Liverpool FC U23,Liverpool FC,-,Graduated,,
50,20/21 Summer,Dejan Lovren,31,Croatia,Centre-Back,2500000,Liverpool FC,Zenit St. Petersburg,12000000,Transfer,,
51,20/21 Summer,Ovie Ejaria,22,England,Left Midfield,2000000,Liverpool FC,Reading FC,3900000,Transfer,,
52,20/21 Summer,Harry Wilson,23,Wales,Right Winger,16000000,Liverpool FC,Cardiff City,1300000,Loan,,
53,20/21 Summer,Adam Lallana,32,England,Attacking Midfield,1200000,Liverpool FC,Brighton & Hove Albion,0,Free transfer,,
54,20/21 Summer,Nathaniel Clyne,29,England,Right-Back,2000000,Liverpool FC,Crystal Palace,0,Free transfer,,
55,20/21 Summer,Sheyi Ojo,23,England,Right Winger,1800000,Liverpool FC,Cardiff City,0,Loan,,
56,20/21 Summer,Taiwo Awoniyi,23,Nigeria,Centre-Forward,30000000,Liverpool FC,1.FC Union Berlin,0,Loan,,
57,20/21 Summer,Loris Karius,27,Germany,Goalkeeper,1200000,Liverpool FC,1.FC Union Berlin,0,Loan,,
58,20/21 Summer,Marko Gruji?,24,Serbia,Defensive Midfield,9000000,Liverpool FC,FC Porto,0,Loan,,
59,20/21 Summer,Ben Woodburn,21,Wales,Attacking Midfield,1000000,Liverpool FC,Blackpool FC,0,Loan,,
60,20/21 Summer,Andy Lonergan,36,England,Goalkeeper,150000,Liverpool FC,Without Club,-,End of contract,,
61,20/21 Summer,Rúben Dias,23,Portugal,Centre-Back,80000000,SL Benfica,Manchester City,71600000,Transfer,,
62,20/21 Summer,Nathan Aké,25,Netherlands,Centre-Back,42000000,AFC Bournemouth,Manchester City,45300000,Transfer,,
63,20/21 Summer,Ferran Torres,20,Spain,Right Winger,35000000,Valencia CF,Manchester City,33500000,Transfer,,
64,20/21 Summer,Nahuel Bustos,22,Argentina,Centre-Forward,4500000,CA Talleres,Manchester City,6500000,Transfer,,
